,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
345,Tina Tshoganetso Badubi-Radiposo,"Tota ke kopa le ntetelle go akgola ke bo ke galaletsa mme wa conductor wa Bamangwato, B772AVF, my sister the love and caring you gave to me maabane was beyond my expectations, i was really in pains and go ncheka ga gago constantly gave me hope and ka bona gore go na le batho ba ba ratang tiro ya bone tota, kere le kamoso lerato leo le se kgale o tswelele hela jalo, God will reward you.",54,20,Keep it up my lady tswelela fela jaalo being a loving and caring person lorato la ga bakorinta nnaka,
346,Realeboga Masire,"FNB Kanye.., please change the direction of your machine.., ga rena go kgonela ruri go thiba letsatsi mmele.",309,85,,
347,Zodwa Bog,"Been struggling to update kyc ya my router for MASCOM ke sa utwe gore gatwe ke bona yang OTP ne ke setse kere ke a latha coz ke nna kgakala le dishopo. Yesterday I spoke to Sekaba a nthusa ka lerato, ka botho a nthusa how to login  ka Ip addresss a mpontsha gore ke tsene jwang mo message tsame tsa router,ka fitlhela OTP. My lady thank you so much ke kgone go updater o bothokwa thema um now connected and my router is working fine.",17,4,Love Oganne o e diretse kyc,
348,Lalas Bobeilwe-Tshikare,Mascomkante ha itlhele e re le re diretse boherehere a bo le tla ha le itira botoka le re inbox a bo le sa re thuse ka sepe le sender automated responses la bo le re le dirang,8,1,,
349,Richard Harriman,,43,37,Nna ketshogile ka batho badi phitlhoRekopa.leina retaeye kgato,"Richard Harriman...Nope not at all they wrote me a letter last month a requesting medical report for the deceased ,I gave them the report then they said, according to there opinion it is highly likely that the deceased might have joined the society wit… See more"
350,Shadrack Shaq Diphoko,"A person allows orange money transactions in his or her establishment, and when u do it, u  got to pay for the transactional fees tsa orange money and le tsa gagwe…. Does that make sense?",22,25,"I sell my plate ka P30 and P40 respectively,so I nkopa go duela ka orange money ke go bolela gore if you pay P30 fake ya go cash out go sala P24, technically I sold my plate for P24 which will be a loss,so to avoid that tla o tshwere cash ka gore nna I… See more",ORANGE MONEY IS NOT A BANK
351,Bianca Hule Sebina,I did my grocery shopping today for the first time at the newly opened Fours store by fairgrounds. (I've always wanted to shop at fours before but always see many cars parked and assumed inside the shop is hectic) all I can say is Wow! Wow!Wow... whatever training their staff undergo is top notch. I got the best service. I was assisted and I felt like indeed I was king as a customer... special shout out to Nyatshane and Tlotlo who apparently work back of house but assisted me…See more,561,63,Ogone Onamile  We see you buddy.,Mmangwe Latifa Sikwane Moalosi ra akgolwa mma re tshware hela jalo
352,Phemelo Moakgotla,"Ke rekile Lucerne kwa Agrifeed Lobatse, ba ntaisetsa  ha ke tsena kwa morakeng ke fetlhela mo gongwe e le se Lucerne e le tlhaga. Ke lekile go kopa thuso ya bone ka gore koloi e senyegetse kwa morakeng ga ke kgone go lo busa ba ntatlhelel. Ke leleditse even the marketing manager o bo a re ga o tla bua le nna. Ha ke letsa gape o ntatlheletse hela",111,23,"Keep the receipt, baakanya koloi, tsaya bojang joo o bo buse",
353,Bay Wizzy Fx,"Richard a o ra gore this energy drink which come to Botswana are quality tested??many of those cheap ones ha o sena go dinwa o utwa okare wa hupela,mahatha a bothoko gape okare sebete se a sha",130,195,Number 1 demon Mme batho ba akanya mokento wa COVID hela,H pylori ekatswa ke bakwa ke ths energy drinks 
354,Keitumetse Khetiwe,"Good Afternoon...I would like to give praise to Kesego Komanyana Ceda Francistown waitse mme ole o nthusitse ka lorata Ceda wee if mme ole ga le a mohira plz hirang ngwana oo lorato la mme oo le thuso e e areng ha ke e ko godimo,o  tshware hela jaalo modimo o tla go okeletsa ga ke arele te ko go nna lere ke tsere loan lona kana ka leboga",8,,,
355,Ar Othomile Maruping,"Coming across this between Marlon Wayens and Vlad TV reminds me of a certain incident i experienced early last week and i sometimes see it happen a lot even over social media and the internet in general. Why do some people feel so compelled to determine the value of someone else's product or service ? If yoy cant afford, move on to tge ones you can afford , no need to leave nasty comments or even insults.  Especially if it's towards an individual seller or advertiser as oppos…See more",7,,,
356,Tebogo Seloka,"Bathong nthusang ha,aa mmeOrangega e re tsietse ne bathong.m unable to make any transaction gatwe v reached monthly limit,madi gaa tsene,ga ke kgone go casher out,swiping le yone ga e yo so maabane ne ke leka go duela nstakolla still ya gana but today di charge tsa late payment tsone di kgona go tsena ,tsone di tsena jang ke sa kgone go dira sepe ka transactions.ngng something doesn't add up tota",6,13,"Orange bathong ke maaka hela nowadays,ga go berekege le eseng,Madi a Rona a helela KO orange.Nna le yone papadisanyo e a hela tota,switched to bemobile.ka ha ke neng ke e rata Ka teng ijo",
357,Remoneilwe Mosepele,"SoBotswana Power Corporationused to assist swiftly via phone when you had a power fault. They would give you a code to punch in. Apparently they have now been given an instruction not to assist this way anymore. Instead, a technician, using company vehicle, fuel, time will go to each and very house that reports a similar fault to punch in this code him/herself. Please help me understand this?",5,16,Ke tiro ya bone.,Yes they should some people bridge/bypass BPC meters
358,LeToya Moeder,"Water Utilities CorporationI feel scammed by your corporationI am constantly harassed and threatened via texts and emails stating that I owe you and that you will disconnect my account. On Saturday after  receiving on of your texts, I attempted to pay following your tele prompt and it failed then  referred me to the call center. I spoke to an officer, who assured me that I have a credit balance. This morning after seeing your email to disconnect me, I called to find out …See more",2,4,E chekiwa jang bill ka phone?,Following
359,Trish Lets,I want to take a moment to express my deepest gratitude toRichardHarriman for his incredible help in resolving an issue I had with orange bathong Madi ame a boile after 2 months.,50,11,Lucky you nna ke berekela 3 months they are always saying my case is under investigation,Eish good to hear you got some assistance. I have the same issue with orange. Money gone gatwe I wait 45days. I'm also cutting all my services with orange. They've done me wrong with so many things. The service is bad. And the officers are rude. Their … See more
360,Phetolo Lesole,"Botswana life ha ke happy ka thuso tsa lona aitseha gona le haele number tsa bone e berekang bathung, sale ba tsaya madi mo accounting yaka, ke emetse refund yaka",3,1,Sale k emetse refund ya metropolitan last month nna even now...di funeral policy ke Masepa fela...ko tswala nna ebile abo k bula ya poso,
361,Mmagwe Abby Kesego Nkelekang,,9,14,Access bank bathong hao reka motakase no token Madi one baa tsere... ATM fast cash money deducted no voucher namba busang Madi once,Access bank bathong hao reka motakase no token Madi one baa tsere... ATM fast cash money deducted no voucher namba busang Madi once
362,Gosi Munyadzwe,"Credential theft, social engineering.Watch out guys. Even the etiquette says it all",9,1,Wai nna I didn't even bother to respond to them... I blocked the number instantly......i blv they monitor if u have bought from aliexpress..which I did,
363,Nams Godfavoured Bobonong,"Pls talk to Willy Kathurima Associates ba dire dilo sentle ....they put up an advert saying they have a house for rent in Phase 4 and viewing is on Monday, I called on Friday and they confirmed that indeed viewing is Monday, they will only assist on Monday. Moreover, they gave me a list of things to come with. On Monday when I call they say the house have already been taken on Friday.",35,52,A go itseela mortgagenyana motho wa modimo,Ha gongwe o llela letota e wa di parts ntlo ya teng
364,Audrey Kgosidintsi,Dear RichardPlease can you help us deal with Multichoice Botswana. They have stopped channel 135 and they say due to rebranding it has moved to channel 125. when you go to channel 125 the content is five years old. Should we suspend our accounts or will Multichoice Botswan reimburse us for the days we are not able to follow our TV programs while they rebrand?,6,2,"That issue is so concerning. What do we do with old shows like that. I subscribe for football and reality, now there is nothing to watch during the week.",
365,Lynnet Tefo Tsontso Matlale,Good morningRichard Harriman. I would like to name and shameBotswana Telecommunications Corporation - BTCfor their bad service. I stayed for two months without internet at home and they continued to bill me. Logged a complaint via email on the 3rd June 24 and i have not been attended to till date. My services how now been suspended because they expect me to pay for those two months of no internet. Please intervene…,10,,,
366,Lionel Gilberto,"Richard HarrimanI would like to express my frustration with supermarkets that sell food but fail to provide napkins to customers. When I asked for napkins, I was told they had run out, even though there were some available for sale. They refused to use those for customers. Would it be wrong for me to open a packet from the shelf to use some?",13,19,The best is not to buy their food or ask for refund if they tell you after payment,
367,Richard Harriman,"Here's a WhatsApp message you might receive.Ask yourself this question.Why would Meta, who own Facebook, Instagram and WhatsApp, want you to apply using Telegram?",5,3,SCAM!!!,The joke is that Telegram is Meta's competitor. Like asking you to apply for a Mascom job on an Orange website
368,Ray M. Adam,,43,66,Why is that some businesses charge extra 5% for swiping?,"If you own a bar, KBL gives you the selling price. The margin is 22% to 23%, then Burs (Vat) takes 14% of your tiny margin. So when you swipe you are not paying the 5% on your margin, but on the full price, so it definitely makes sense to give the clie… See more"
369,Tiye Kez,richard pleasestandardize these guest houses some of us are there to chill and imagine being charged for breakfast and it’s not there or soaps and shampoo,89,119,"guest houses in Bots especially gabs are the pits, you write breakfast and in the morning nothing after charging 500 le ka loya no soap ke gore go horrible itekeng","guest houses in Bots especially gabs are the pits, you write breakfast and in the morning nothing after charging 500 le ka loya no soap ke gore go horrible itekeng"
370,Cedrick Bekay Bahuleng,"Kante orange e ira yankana sim card yaak gae receive di call unless ele nna elah ke letsan mme ke irile KYC , setse ke digela 2 weks ....",4,3,F,Le yame batho ba re ga e tsene ga e lletswa mme nna ke a kgona go letsa hela sente Ha ke ba lletsa ko orange mosadi ke ha re ha e tswella e gana ke e chenche ke sege e selo
